app_user_id,email,display_name,registered_at,push_opt_in,locale
APP-00992,henrik.holm.001@example.com,,2023-12-13T19:00:00Z,False,nb-NO
APP-01005,ida.nordli.002@example.net,Ida N.,2022-06-14T19:00:00Z,True,en-GB
APP-01018,ingrid.dahl.003@example.org,I. Dahl,2024-04-28T19:00:00Z,True,nn-NO
APP-01031,sofie.nordli.004+app@example.com,Gul4,2023-10-26T19:00:00Z,True,nb-NO
APP-01044,lina.berg.005@example.net,Lina Berg,2021-02-07T19:00:00Z,False,en-GB
APP-01057,supporter.006@example.net,Astrid,2024-07-08T19:00:00Z,True,nn-NO
APP-01070,,Aksel H.,2021-08-09T19:00:00Z,True,nb-NO
APP-01083,supporter.008@example.net,F. Solberg,2023-04-28T19:00:00Z,True,en-GB
APP-01096,magnus.solberg.009+app@example.org,Aspmyra9,2023-04-30T19:00:00Z,False,nn-NO
APP-01109,,Sara Moen,2023-10-31T19:00:00Z,True,nb-NO
APP-01122,sara.dahl.011@example.net,Sara,2020-12-16T19:00:00Z,True,en-GB
APP-01135,aksel.kristiansen.012@example.org,Aksel K.,2021-04-15T19:00:00Z,True,nn-NO
APP-01148,isak.knutsen.013@example.com,I. Knutsen,2022-09-11T19:00:00Z,False,nb-NO
APP-01161,pernille.olsen.014@example.net,Nordlys14,2022-08-26T19:00:00Z,True,en-GB
APP-01174,ola.fjell.015@example.org,Ola Fjell,2023-03-09T19:00:00Z,True,nn-NO
APP-01187,henrik.eide.016@example.com,Henrik,2022-02-02T19:00:00Z,True,nb-NO
APP-01200,supporter.017@example.net,Amalie N.,2021-11-04T19:00:00Z,False,en-GB
APP-01213,anders.strand.018@example.org,A. Strand,2022-03-16T19:00:00Z,True,nn-NO
APP-01226,ola.solberg.019+app@example.com,Glimtvenn19,2024-06-14T19:00:00Z,True,nb-NO
APP-01239,emma.fjell.020@example.net,Emma Fjell,2022-07-27T19:00:00Z,True,en-GB
APP-01252,amalie.nordli.021@example.org,Amalie,2023-01-04T19:00:00Z,False,nn-NO
APP-01265,supporter.022@example.net,Jakob F.,2022-02-04T19:00:00Z,True,nb-NO
APP-01278,astrid.lund.023@example.net,A. Lund,2022-10-31T19:00:00Z,True,en-GB
APP-01291,hanna.gran.024@example.org,191624,2021-08-11T19:00:00Z,True,nn-NO
APP-01304,emil.holm.025@example.com,Emil Holm,2023-10-17T19:00:00Z,False,nb-NO
APP-01317,supporter.026@example.net,Elias,2023-10-07T19:00:00Z,True,en-GB
APP-01330,lea.lund.027@example.org,Lea L.,2022-03-07T19:00:00Z,True,nn-NO
APP-01343,julie.kristiansen.028+app@example.com,J. Kristiansen,2022-08-16T19:00:00Z,True,nb-NO
APP-01356,isak.eide.029@example.net,Bodoe29,2020-11-27T19:00:00Z,False,en-GB
APP-01369,ingrid.pedersen.030@example.org,Ingrid Pedersen,2023-06-10T19:00:00Z,True,nn-NO
APP-01382,  lina.haugen.031@example.com ,Lina,2024-07-04T19:00:00Z,True,nb-NO
APP-01395,HANNA.JOHANSEN.032@EXAMPLE.NET,Hanna J.,2020-11-22T19:00:00Z,True,en-GB
APP-01408,anders.strand.033@example.org,A. Strand,2023-09-10T19:00:00Z,False,nn-NO
APP-01421,jakob.moen.034@example.com,Gul34,2022-05-24T19:00:00Z,True,nb-NO
APP-01434,supporter.035@example.net,Emil Nordli,2020-12-20T19:00:00Z,True,en-GB
APP-01447,nora.haugen.036@example.org,Nora,2023-04-10T19:00:00Z,True,nn-NO
APP-01460,nora.olsen.037@example.com,Nora O.,2022-07-19T19:00:00Z,False,nb-NO
APP-01473,  sara.berg.038@example.net ,S. Berg,2021-04-23T19:00:00Z,True,en-GB
APP-01486,maja.haugen.039@example.org,Aspmyra39,2024-04-28T19:00:00Z,True,nn-NO
APP-01499,amalie.dahl.040@example.com,Amalie Dahl,2021-10-15T19:00:00Z,True,nb-NO
APP-01512,EMMA.OLSEN.041@EXAMPLE.NET,Emma,2022-10-07T19:00:00Z,False,en-GB
APP-01525,emil.pedersen.042@example.org,Emil P.,2021-12-06T19:00:00Z,True,nn-NO
APP-01538,kari.hagen.043@example.com,K. Hagen,2021-11-17T19:00:00Z,True,nb-NO
APP-01551,JULIE.SUND.044@EXAMPLE.NET,,2024-01-29T19:00:00Z,True,en-GB
APP-01564,ERIK.DAHL.045@EXAMPLE.ORG,Erik Dahl,2024-02-27T19:00:00Z,False,nn-NO
APP-01577,ola.dahl.046@example.com,Ola,2021-12-12T19:00:00Z,True,nb-NO
APP-01590,thea.johansen.047+app@example.net,Thea J.,2024-01-24T19:00:00Z,True,en-GB
APP-01603,emil.berg.048@example.org,E. Berg,2024-05-25T19:00:00Z,True,nn-NO
APP-01616,supporter.049@example.net,Glimtvenn49,2024-08-18T19:00:00Z,False,nb-NO
APP-01629,ELIAS.OLSEN.050@EXAMPLE.NET,Elias Olsen,2023-03-14T19:00:00Z,True,en-GB
APP-01642,julie.eide.051@example.org,Julie,2023-01-05T19:00:00Z,True,nn-NO
APP-01655,kari.fjell.052@example.com,Kari F.,2021-03-12T19:00:00Z,True,nb-NO
APP-01668,kari.haugen.053+app@example.net,K. Haugen,2021-10-12T19:00:00Z,False,en-GB
APP-01681,  jakob.eide.054@example.org ,191654,2021-10-26T19:00:00Z,True,nn-NO
APP-01694,supporter.055@example.net,Kari Nordli,2022-11-28T19:00:00Z,True,nb-NO
APP-01707,sofie.haugen.056@example.net,Sofie,2021-06-24T19:00:00Z,True,en-GB
APP-01720,erik.haugen.057@example.org,Erik H.,2022-05-23T19:00:00Z,False,nn-NO
APP-01733,  elias.vik.058@example.com ,E. Vik,2021-12-20T19:00:00Z,True,nb-NO
APP-01746,supporter.059@example.net,Bodoe59,2024-04-11T19:00:00Z,True,en-GB
APP-01759,sofie.sund.060@example.org,Sofie Sund,2022-12-30T19:00:00Z,True,nn-NO
APP-01772,emil.holm.061@example.com,Emil,2021-09-02T19:00:00Z,False,nb-NO
APP-01785,supporter.062@example.net,Kristian L.,2023-08-14T19:00:00Z,True,en-GB
APP-01798,astrid.holm.063@example.org,A. Holm,2021-11-19T19:00:00Z,True,nn-NO
APP-01811,ola.nordli.064@example.com,Gul64,2021-08-17T19:00:00Z,True,nb-NO
APP-01824,nora.gran.065@example.net,Nora Gran,2020-10-17T19:00:00Z,False,en-GB
APP-01837,kristian.vik.066@example.org,Kristian,2024-08-18T19:00:00Z,True,nn-NO
APP-01850,julie.knutsen.067@example.com,Julie K.,2023-11-12T19:00:00Z,True,nb-NO
APP-01863,sigrid.gran.068@example.net,S. Gran,2021-01-15T19:00:00Z,True,en-GB
APP-01876,henrik.lund.069+app@example.org,Aspmyra69,2020-11-20T19:00:00Z,False,nn-NO
APP-01889,  ingrid.gran.070@example.com ,Ingrid Gran,2024-07-02T19:00:00Z,True,nb-NO
